exp_time,od_measured,pump_1_rate,pump_2_rate,Time.hours
74838.24,1.037027476,0,0,20.7884
74898.3,1.036428068,0,0,20.80508333
74958.37,1.03945715,0,0,20.82176944
75018.44,1.040581656,0,0,20.83845556
75078.52,1.04265073,0.018891813,0.25,20.85514444
75138.58,0.970472587,0.012428345,0.119713382,20.87182778
75198.65,0.935466352,0,0.07,20.88851389
75258.73,0.94884382,0,0.07,20.90520278
75318.77,0.948822711,0,0.07,20.92188056
75378.85,0.940613911,0,0.25,20.93856944
75438.92,0.950957039,0,0.07,20.95525556
75498.98,0.943702601,0,0.07,20.97193889
75559.05,0.958993321,0,0.07,20.988625
75619.1,0.970280718,0,0.07,21.00530556
75679.14,0.970019527,0,0.25,21.02198333
75739.18,0.972028957,0,0.07,21.03866111
75799.25,0.966559712,0,0,21.05534722
75859.29,0.946504,0,0,21.072025
75919.36,0.981560191,0,0,21.08871111
75979.4,0.992251622,0,0,21.10538889
76039.47,0.976812033,0,0,21.122075
76099.51,0.985387854,0,0,21.13875278
76159.57,0.981393133,0,0,21.15543611
76219.61,0.990201596,0,0,21.17211389
76279.68,0.982762529,0,0,21.1888
76339.76,0.987405058,0,0,21.20548889
76399.81,0.991398514,0,0,21.22216944
76459.89,0.988759478,0,0,21.23885833
76519.96,0.993330848,0,0,21.25554444
76580.04,1.006641936,0,0,21.27223333
76640.13,1.013369354,0,0,21.288925
76700.17,1.00146923,0,0,21.30560278
76760.24,1.011230129,0,0,21.32228889
76820.3,1.005668266,0,0,21.33897222
76880.34,1.026934942,0,0,21.35565
76940.42,1.013893767,0,0,21.37233889
77000.48,1.02258383,0,0,21.38902222
77060.55,1.013855005,0,0,21.40570833
77120.59,1.034804952,0,0,21.42238611
77180.63,1.025252803,0,0,21.43906389
77240.75,1.027344969,0,0,21.45576389
77300.79,1.017567671,0,0,21.47244167
77360.84,1.040405609,0,0,21.48912222
77420.92,1.037880693,0,0,21.50581111
77480.97,1.044637656,0,0,21.52249167
77541.03,1.041463725,0.01868114,0.144724559,21.539175
77601.08,1.003697004,0.02,0.15,21.55585556
77661.11,0.942049517,0.000784407,0.073137629,21.57253056
77721.14,0.926793442,0,0.07,21.58920556
77781.21,0.921413359,0,0.25,21.60589167
77841.31,0.936493924,0,0.07,21.62258611
77901.37,0.937281166,0,0.07,21.63926944
77961.44,0.948548167,0,0.07,21.65595556
78021.51,0.931460979,0,0.07,21.67264167
78081.59,0.943823075,0,0.25,21.68933056
78141.65,0.938613208,0,0.07,21.70601389
78201.71,0.938689402,0,0.07,21.72269722
78261.74,0.940347054,0,0.07,21.73937222
78321.81,0.9407354,0,0,21.75605833
78381.89,0.934113064,0,0,21.77274722
78441.96,0.952284441,0,0,21.78943333
78502.04,0.97485141,0,0,21.80612222
78562.06,0.963053858,0,0,21.82279444
78622.13,0.94896717,0,0,21.83948056
78682.17,0.962851399,0,0,21.85615833
78742.24,0.970309596,0,0,21.87284444
78802.32,0.967309207,0,0,21.88953333
78862.39,0.959479306,0,0,21.90621944
78922.47,0.968728744,0,0,21.92290833
78982.51,0.958002089,0,0,21.93958611
79042.58,0.966421291,0,0,21.95627222
79102.64,0.985531866,0,0,21.97295556
79162.71,0.971741626,0,0,21.98964167
79222.75,0.971206463,0,0,22.00631944
79282.8,0.993221779,0,0,22.023
79342.84,1.013340987,0,0,22.03967778
79402.88,1.001464236,0,0,22.05635556
79462.95,1.007554283,0,0,22.07304167
79522.99,1.000499817,0,0,22.08971944
79583.07,1.004282925,0,0,22.10640833
79643.15,0.997309048,0,0,22.12309722
79703.22,1.005399782,0,0,22.13978333
79763.29,1.007986329,0,0,22.15646944
79823.37,1.009392429,0,0,22.17315833
79883.43,1.024023185,0,0,22.18984167
79943.5,1.027691108,0,0,22.20652778
80003.55,1.022685495,0,0,22.22320833
80063.63,1.021195628,0,0,22.23989722
80123.68,1.028924766,0,0,22.25657778
80183.71,1.019874287,0,0,22.27325278
80243.76,1.038051245,0,0,22.28993333
80303.83,1.037377058,0,0,22.30661944
80363.91,1.027444729,0,0,22.32330833
80423.96,1.042263269,0,0,22.33998889
80484,1.026688504,0,0,22.35666667
80544.08,1.03673998,0,0,22.37335556
80604.16,1.04240401,0,0,22.39004444
80664.21,1.040084644,0.018428696,0.143714784,22.406725
80724.25,0.961950778,0.011573383,0.116293533,22.42340278
80784.32,0.937176005,0,0.25,22.44008889
80844.38,0.932918464,0,0.07,22.45677222
80904.44,0.943077982,0,0.07,22.47345556
80964.5,0.955161872,0,0.07,22.49013889
81024.54,0.959071358,0,0.07,22.50681667
81084.6,0.941995933,0,0.25,22.5235
81144.65,0.954380104,0,0.07,22.54018056
81204.71,0.942206837,0,0.07,22.55686389
81264.76,0.955696071,0,0.07,22.57354444
81324.82,0.951520613,0,0.07,22.59022778
81384.89,0.956132343,0,0,22.60691389
81444.96,0.964678116,0,0,22.6236
81505.04,0.975305277,0,0,22.64028889
81565.1,0.967065169,0,0,22.65697222
81625.16,0.963836748,0,0,22.67365556
81685.23,0.973395284,0,0,22.69034167
81745.3,0.987635281,0,0,22.70702778
81805.38,0.988801362,0,0,22.72371667
81865.46,0.995243857,0,0,22.74040556
81925.52,0.990779721,0,0,22.75708889
81985.57,0.975567504,0,0,22.77376944
82045.61,0.975395962,0,0,22.79044722
82105.68,0.991841384,0,0,22.80713333
82165.72,0.992011979,0,0,22.82381111
82225.78,1.008335935,0,0,22.84049444
82285.86,1.009617666,0,0,22.85718333
82345.91,1.020393233,0,0,22.87386389
82405.99,1.010905263,0,0,22.89055278
82466.04,1.012755924,0,0,22.90723333
82526.12,1.019766303,0,0,22.92392222
82586.17,1.022647725,0,0,22.94060278
82646.26,1.027619645,0,0,22.95729444
82706.3,1.024835085,0,0,22.97397222
82766.36,1.019687013,0,0,22.99065556
82826.41,1.042946014,0,0,23.00733611
82886.45,1.034278161,0,0,23.02401389
82946.5,1.038046363,0,0,23.04069444
83006.54,1.03060359,0,0,23.05737222
83066.62,1.031733217,0,0,23.07406111
83126.67,1.030073396,0,0,23.09074167
83186.72,1.038801154,0,0,23.10742222
83246.79,1.03474526,0,0,23.12410833
83306.87,1.052785204,0,0,23.14079722
83366.95,1.065186509,0.02,0.15,23.15748611
83427,0.970508538,0.014684441,0.128737764,23.17416667
83487.08,0.914862802,0,0.25,23.19085556
83547.14,0.924700688,0,0.07,23.20753889
83607.22,0.910574156,0,0.07,23.22422778
83667.29,0.922028633,0,0.07,23.24091389
